Date,Town,City,Clouds,"Temp C","Humidity %","Wind mph","Wind Direction",Sunrise,Sunset
2024-04-02, Montroy, ES, overcast clouds, 16.8, 27%, 7.4, SW, 07:44, 20:26
2024-04-03, Montroy, ES, clear sky, 12.7, 66%, 1.0, SW, 07:43, 20:27
2024-04-03, Montroy, ES, scattered clouds, 22.2, 45%, 5.0, W, 07:43, 20:27
2024-04-03, Montroy, ES, clear sky, 24.6, 34%, 8.0, W, 07:43, 20:27
2024-04-04, Montroy, ES, broken clouds, 12.5, 71%, 2.0, NW, 07:41, 20:28
2024-04-04, Montroy, ES, scattered clouds, 23.2, 37%, 4.0, SE, 07:41, 20:28
2024-04-04, Montroy, ES, few clouds, 22.4, 39%, 4.0, NE, 07:41, 20:28
2024-04-05, Montroy, ES, overcast clouds, 11.9, 80%, 5.0, WNW, 07:40, 20:29
2024-04-05, Montroy, ES, overcast clouds, 19.2, 24%, 6.3, ESE, 07:40, 20:29
2024-04-05, Montroy, ES, overcast clouds, 19.4, 57%, 7.0, ENE, 07:40, 20:29
2024-04-06, Montroy, ES, overcast clouds, 11.4, 93%, 3.0, WNW, 07:38, 20:30
2024-04-06, Montroy, ES, overcast clouds, 18.7, 45%, 8.6, E, 07:38, 20:30
2024-04-06, Montroy, ES, overcast clouds, 16.9, 69%, 5.0, ENE, 07:38, 20:30
2024-04-07, Montroy, ES, overcast clouds, 14, 92%, 2.0, W, 07:36, 20:31
2024-04-07, Montroy, ES, overcast clouds, 19, 47%, 4.4, ENE, 07:36, 20:31
2024-04-07, Montroy, ES, broken clouds, 20.1, 63%, 4.0, SE, 07:36, 20:31
2024-04-08, Montroy, ES, overcast clouds, 14.2, 85%, 3.0, W, 07:35, 20:32
2024-04-08, Montroy, ES, overcast clouds, 22.5, 49%, 11.0, NW, 07:35, 20:32
2024-04-08, Montroy, ES, broken clouds, 25.9, 30%, 6.0, NW, 07:35, 20:32
2024-04-09, Montroy, ES, clear sky, 12.5, 49%, 10.0, WNW, 07:33, 20:33
2024-04-09, Montroy, ES, clear sky, 18.6, 23%, 8.0, NNW, 07:33, 20:33
2024-04-09, Montroy, ES, clear sky, 21.3, 16%, 11.0, NNW, 07:33, 20:33
2024-04-10, Montroy, ES, few clouds, 9.3, 57%, 5.0, WNW, 07:32, 20:34
2024-04-10, Montroy, ES, broken clouds, 20.4, 25%, 4.0, W, 07:32, 20:34
